iiif_version,manifest_n,manifest_id,manifest_label,tot_pages,manifest_width_1p,img_info_width_1_1p,1a,1b,1c,2,img_info_width_3_1p,3a,3b,3c,4a,4b,4c
2,16,"https://media.getty.edu/iiif/manifest/53be857e-41e8-4198-b45d-2e0f52d3051b","Irises",3,9021,9021,OK_27883706,OK_27883706,OK_27883706,OK_27883706,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL,FAIL,FAIL
2,17,"https://api.smk.dk/api/v1/iiif/manifest?id=KMS1776","Et parti af det indre af Colosseum",2,4546,4546,OK_13667903,OK_13667903,OK_13667903,OK_121174,4546,OK_2112797,OK_2112797,OK_2112797,FAIL_404,FAIL_404,FAIL_404
2,18,"https://rct.resourcespace.com/iiif/970585/manifest","Raphael Collection portfolio 26",84,5695,5695,OK_158847,OK_158847,FAIL,OK_158847,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,OK_158847,OK_158847,OK_158847
2,19,"https://by2022.adaptcentre.ie/iiif/v1/160821/manifest","Royal charters to the city of Dublin",29,4256,NA,FAIL,FAIL,FAIL,FAIL,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,20,"https://portail.biblissima.fr/iiif/manifest/ark:/43093/descdbf571c2dcac868496312bf36d449401e4ac0af4","comète - Collection d'images d'enluminures et décors de manuscrits",34,2128,2128,OK_1160381,FAIL,OK_1160381,OK_1160381,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,21,"https://portail.biblissima.fr/iiif/manifest?descriptors=AND|569c70bc8f3f52b8966895b97ace86644dca444a,AND|86e65567ec9ac97ea2404af46cafa34d6f4920e7","Collection d'images d'enluminures et décors de manuscrits",112,3289,3289,OK_1457189,OK_1457189,OK_1456446,OK_1456446,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,22,"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10139933/manifest","Strabo: Strabo de situ orbis",340,2577,2577,OK_1164259,OK_1164259,OK_1164259,OK_1164259,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,23,"https://iiif.bodleian.ox.ac.uk/iiif/manifest/748a9d50-5a3a-440e-ab9d-567dd68b6abb.json","Bodleian Library MS. Arab. c. 90",99,6676,6676,OK_2569364,OK_2569364,OK_2569364,OK_1204,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_DB,SKIP_DB,SKIP_DB
2,24,"http://demos.biblissima-condorcet.fr/iiif/metadata/florus-dispersus/manifest.json","Codex Florus dispersus",322,4396,4396,OK_2846840,OK_2846840,OK_2846840,OK_203515,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_203515,OK_203515,OK_203515
2,25,"https://dvp.prtd.app/hamilton/manifest.json","Letter from Alexander Hamilton Papers (September 6, 1780)",1,3912,3912,FAIL_403,OK_938364,FAIL_403,OK_81194,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,26,"https://iiif-test.github.io/Space/manifests/ganymede-2021-06-07.json","Ganymede Image",3,1600,1600,OK_92349,FAIL_404,OK_92349,OK_92349,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,27,"https://iiif-test.github.io/Space/manifests/ganymede-layers-2021-06-07.json","Ganymede Image - Layers",1,1600,1600,OK_92349,FAIL_404,OK_92349,OK_92349,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,28,"https://iiif-test.github.io/Space/manifests/manifest_test.json","Glen's space manifest.",2,1600,1600,OK_92349,FAIL_404,OK_92349,OK_92349,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,29,"https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00161115/manifest","Plan de la Bataille de Baltzig",3,3842,3842,OK_2583484,OK_2583484,OK_2583484,OK_2583484,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,30,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1511104z/manifest.json","BnF, département Arsenal, FOL-S-557",937,4091,4091,OK_4269974,OK_4269974,OK_4269974,OK_4269974,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,31,"NA","NA",2,1000,2471,FAIL_406,FAIL_406,FAIL_406,FAIL,NA,FAIL,FAIL_404,FAIL_404,FAIL_404,FAIL_404,FAIL_404
2,32,"https://iiif.unige.ch/manifest/IIIFManifest_1072068799.json","1072068799",26,2885,2885,OK_2580148,OK_2580148,OK_2580148,OK_2580148,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL,FAIL,FAIL
2,33,"https://repository.library.brown.edu/iiif/presentation/bdr:417934/manifest.json","1916-1937: Memories of a Friendship",28,5359,5359,OK_3096342,OK_3096342,OK_3096342,OK_3096342,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,34,"https://librarysearch.cardiff.ac.uk/view/iiif/presentation/44WHELF_CAR/12204338230002420/manifest?iiifVersion=2","Ellor-gāst ",60,6048,6048,OK_2036449,OK_2036449,OK_2036449,FAIL_404,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,FAIL_404,FAIL_404,FAIL_404
2,35,"https://api.cultural.jp/iiif/britishm-A_1991-1112-0-93-1/manifest","源氏振",1,1000,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_76701,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,FAIL_404,FAIL_404,FAIL_404
2,36,"https://iiif.vam.ac.uk/collections/O40240/manifest.json","Netsuke",1,2500,2500,OK_385666,OK_385666,OK_385666,OK_385666,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,37,"https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~36264~1200318/manifest","Detailed Geology Sheet XXIV.",1,6172,6172,OK_315042,OK_315042,OK_2191139,OK_113477,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL,FAIL,FAIL
2,38,"https://ark.digitalcommonwealth.org/ark:/50959/668305767/manifest","Copley Square",1,3695,3695,OK_1380848,OK_1380848,OK_1380848,OK_297598,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,FAIL_404,FAIL_404,FAIL_404
2,39,"https://repository.dri.ie/iiif/tb09xw390/manifest.json","Anniversary of The Easter Rising",1,979,979,OK_151070,FAIL,OK_151070,OK_151070,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL,FAIL,FAIL
2,40,"https://iiif.durham.ac.uk/manifests/trifle/32150/t1/m5/71/t1m5712m7417/manifest","Formulare Anglicanum - Routh 65.A.15",510,3880,3880,OK_156089,OK_156089,OK_156089,OK_156089,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,41,"https://e-codices.ch/metadata/iiif/kba-0003/manifest.json","Aarau, Aargauer Kantonsbibliothek, MsMurF 3",210,3328,3328,OK_2770062,FAIL,OK_2770062,OK_2770062,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,FAIL_404,FAIL_404,FAIL_404
2,42,"https://www.e-manuscripta.ch/i3f/v20/4990956/manifest","1",41,1585,1585,OK_331960,OK_331960,OK_326079,OK_120972,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,FAIL_404,FAIL_404,FAIL_404
2,43,"https://iiif.europeana.eu/presentation/09403/https___gams_uni_graz_at_o_beurb_karten_1797_CHO/manifest","Plan. Der Haupt-Stadt Graetz in Steyermark samt ihren
                                Vorstaedten.",1,5000,5000,OK_6565947,FAIL,OK_6565947,OK_6565947,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,44,"https://digitalcollections.folger.edu/node/103112/manifest","Warrant for arrest from West Riding, Yorkshire, to the constable of Attercliffe, all other constables in the West Riding, and their deputies",4,4170,4170,OK_5492462,OK_5492462,OK_5492462,OK_5492462,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,45,"https://fragmentarium.ms/metadata/iiif/F-owoe/manifest.json","Philadelphia, Pennsylvania, Free Library of Philadelphia, Lewis E 199",26,5309,5309,OK_9585899,FAIL,OK_9585899,OK_9585899,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,46,"https://manifests.sub.uni-goettingen.de/id/PPN166700252X","Denkschrift über die Lage der Drainkultur im Preußischen Staate",61,300,1688,OK_1009239,OK_1009239,OK_1009239,FAIL_404,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_1009239,OK_1009239,OK_1009239
2,47,"https://iiif.harvardartmuseums.org/manifests/object/197886","The Temple of the Sibyl at Tivoli",1,2550,2550,OK_687915,OK_687915,OK_687915,OK_687915,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,48,"https://cdm16003.contentdm.oclc.org/iiif/p15150coll7:7963/manifest.json","Oral history interview with Alan Brown.",74,1275,1224,OK_208084,OK_208084,OK_208084,OK_208084,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,49,"https://digitalcollections.lancaster.ac.uk/iiif/VS-CMDA-00001","Picturegoer Postcard Club: Membership Card (VS-CMDA-00001)",1,4495,4495,OK_4275741,OK_4275741,OK_4275741,OK_948,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_DB,SKIP_DB,SKIP_DB
2,50,"https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:4010545/manifest","Een valsche Brutus, M c 29",44,1768,1768,OK_589117,OK_589117,OK_589117,OK_589117,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,51,"https://www.loc.gov/item/2022239691/1925-04-22/ed-1/manifest.json","The Cordele dispatch and daily sentinel (Cordele, Georgia), April 22, 1925",8,6835,5297,OK_5020863,FAIL,OK_1400021,OK_173785,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_173785,OK_173785,OK_173785
2,52,"https://www.nga.gov/content/ngaweb/api/v1/iiif/presentation/manifest.json?cultObj:id=132371","Fruit and Flowers",1,4480,4480,OK_3418425,OK_3418425,OK_3418425,FAIL_404,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,FAIL_404,FAIL_404,FAIL_404
2,53,"https://libraryimage.nga.gov/manifest/mms/99682033504896.json","Grandezze della città di Roma antiche e moderne come al presente si ritrovano, di nuovo ristampato in quattro linguaggi: latino, volgare, francese, tedesco, ad istanza di Iacomo Marcucci. ",186,3433,3433,OK_1791433,OK_1791433,OK_1791433,OK_1791433,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL,FAIL,FAIL
2,54,"https://damsssl.llgc.org.uk/iiif/2.0/4650181/manifest.json","1: Map of the township of Croggen Iddon; 2: Map of the township of Croggen Wladis; 3: Map of the township of Cilcochwyn; 4: Map of the township of Erwallo",4,21397,21397,OK_95880,OK_95880,OK_95880,FAIL_404,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,FAIL_404,FAIL_404,FAIL_404
2,55,"https://digitalarchive.npm.gov.tw/Integrate/GetJson?cid=3302&dept=P","NPM 故宮 - 明文徵明古木寒泉　軸",18,1188,1426,FAIL_403,FAIL_403,FAIL_403,OK_7921,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,56,"https://d.lib.ncsu.edu/collections/catalog/0012294/manifest","1977-1978 N.C. State University women's basketball team",1,8737,8737,OK_6544710,FAIL,OK_6544710,OK_236491,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,57,"https://figgy.princeton.edu/concern/scanned_resources/a0297b1f-492d-47fd-a8b5-c2d2c83d315c/manifest","Princeton Ethiopic Manuscript No. 59: Ethiopic Folding Picture Book",13,7229,7229,OK_8746725,OK_8746725,OK_8746725,OK_170319,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL,FAIL,FAIL
2,58,"https://cdm21010.contentdm.oclc.org/iiif/Handschriften:41837/manifest.json","(Para)liturgisch verzamelhandschrift [samengesteld door Arnoldus Beckers] Hs IV 55",53,4959,4959,OK_2023228,OK_2023228,OK_2023228,OK_2023228,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,59,"https://purl.stanford.edu/rd180md5104/iiif/manifest","JEDI Fair 2021 Mike Keller provides opening remarks",1,3274,3274,OK_807779,OK_807779,OK_807779,OK_807779,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,60,"http://cudl.lib.cam.ac.uk/iiif/MS-ADD-03959","Elementary Mathematics (MS Add.3959)",104,4136,4136,OK_236192,OK_236192,OK_236192,OK_834,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_DB,SKIP_DB,SKIP_DB
2,61,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll16:2217/manifest.json","A view from Durdham Down near Bristol",1,4837,4837,OK_2499570,OK_2499570,OK_2499570,OK_2499570,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,62,"https://digital.library.unt.edu/ark:/67531/metadc2416385/manifest/","Sérénade Argentine, nº 2: Rhapsodie argentine (ca. 1887)",13,1500,1500,OK_53787,OK_53787,OK_85178,OK_53787,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL,FAIL,FAIL
2,63,"https://iiif.bodleian.ox.ac.uk/iiif/manifest/faeff7fb-f8a7-44b5-95ed-cff9a9ffd198.json","Bodleian Library MS. Ashmole 1511",226,6578,6578,OK_1484687,OK_1484687,OK_1484687,OK_1204,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_DB,SKIP_DB,SKIP_DB
2,64,"https://collections.st-andrews.ac.uk/779531/manifest","Difesa di Galileo Galilei",101,8364,8364,OK_18922629,OK_18922629,OK_18922629,OK_18922629,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,65,"https://iiif.library.utoronto.ca/presentation/v2/fisher2:F8597/manifest","Victorian kitchen, household and medical recipes",158,2228,2228,OK_1770565,OK_1770565,OK_1770565,OK_143616,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,66,"https://cdm16786.contentdm.oclc.org/iiif/iww:568/manifest.json","Attached petition containing affidavits, resolutions, letters etc.",37,500,500,OK_118302,OK_118302,OK_118302,OK_118302,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_404,FAIL_404,FAIL_404
2,67,"https://digital.library.villanova.edu/Item/vudl:745706/Manifest","Annual Report of the President, Villanova University, 1967-1968.",20,3220,2259,OK_2228718,OK_2228718,OK_1528365,OK_2228718,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,FAIL_404,FAIL_404,FAIL_404
2,68,"https://iiif.collectionsbase.org.uk/GB61/GB61_BAD_1/manifest","GB61_BAD_1",2,712,712,FAIL_403,FAIL,OK_242527,FAIL_403,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_DB,SKIP_DB,SKIP_DB
2,69,"https://digi.vatlib.it/iiif/MSS_Vat.lat.3225/manifest.json","Vat.lat.3225",162,1780,1780,OK_277946,OK_277946,OK_277946,OK_416,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,FAIL_404,FAIL_404,FAIL_404
2,70,"https://dam-antenati.cultura.gov.it/antenati/containers/02dPqrK/manifest","Archivio di Stato di Napoli > Stato civile italiano (quartieri di Napoli) > Stella > Registro 187, suppl. 2",138,1000,3817,FAIL_403,OK_1707417,OK_1834158,FAIL_403,SKIP_DB,SKIP_DB,SKIP_DB,SKIP_DB,FAIL_403,FAIL_403,FAIL_403
2,71,"https://iiif.diamm.net/manifests/D-BAa-Msc-Lit-5/manifest.json","D-BAa-Msc-Lit-5",395,1360,1360,OK_50324,OK_50324,OK_50324,OK_966,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_DB,SKIP_DB,SKIP_DB
3,0,"https://iiif.io/api/cookbook/recipe/0001-mvm-image/manifest.json","Single Image Example",1,1200,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_128352,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,FAIL_406,FAIL_406
3,1,"https://iiif.io/api/cookbook/recipe/0004-canvas-size/manifest.json","Still image from an opera performance at Indiana University",1,640,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_296047,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,FAIL_404,FAIL_404
3,2,"https://iiif.io/api/cookbook/recipe/0005-image-service/manifest.json","Picture of Göttingen taken during the 2019 IIIF Conference",1,4032,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_1839135,4032,SKIP_NS,OK_1839135,OK_1839135,SKIP_NS,FAIL_404,FAIL_404
3,3,"https://iiif.io/api/cookbook/recipe/0006-text-language/manifest.json","Whistler's Mother",1,1114,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_201186,1114,SKIP_NS,OK_201186,OK_201186,SKIP_NS,FAIL_404,FAIL_404
3,4,"https://iiif.io/api/cookbook/recipe/0118-multivalue/manifest.json","Arrangement en gris et noir no 1",1,None,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_236864,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,FAIL_404,FAIL_404
3,5,"https://iiif.io/api/cookbook/recipe/0007-string-formats/manifest.json","Picture of Göttingen taken during the 2019 IIIF Conference",1,4032,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_1839135,4032,SKIP_NS,OK_1839135,OK_1839135,SKIP_NS,FAIL_404,FAIL_404
3,6,"https://iiif.io/api/cookbook/recipe/0029-metadata-anywhere/manifest.json","John Dee performing an experiment before Queen Elizabeth I.",2,2000,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_378134,2000,SKIP_NS,OK_378134,OK_378134,SKIP_NS,FAIL_404,FAIL_404
3,7,"https://iiif.io/api/cookbook/recipe/0008-rights/manifest.json","Picture of Göttingen taken during the 2019 IIIF Conference",1,4032,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_1839135,4032,SKIP_NS,OK_1839135,OK_1839135,SKIP_NS,FAIL_404,FAIL_404
3,8,"https://iiif.io/api/cookbook/recipe/0009-book-1/manifest.json","Simple Manifest - Book",5,3204,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_853193,3204,SKIP_NS,OK_853193,OK_853193,SKIP_NS,FAIL_404,FAIL_404
3,9,"https://iiif.io/api/cookbook/recipe/0011-book-3-behavior/manifest-continuous.json","Ms. 21 Māzemurā Dāwit, Asmat [መዝሙረ ዳዊት]",4,11368,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_2453537,11368,SKIP_NS,OK_2453537,OK_2453537,SKIP_NS,FAIL_404,FAIL_404
3,10,"https://iiif.io/api/cookbook/recipe/0299-region/manifest.json","Berliner Tageblatt article, 'Ein neuer Sicherungsplan?'",1,3536,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_2452564,3536,SKIP_NS,OK_2452564,OK_2452564,SKIP_NS,FAIL_404,FAIL_404
3,11,"https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/manifest-rtl.json","Book with Right-to-Left Viewing Direction",5,3497,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_2361167,3497,SKIP_NS,OK_2361167,OK_2361167,SKIP_NS,FAIL_404,FAIL_404
3,12,"https://iiif.io/api/cookbook/recipe/0283-missing-image/manifest.json","Ethiopic Ms 10",4,1768,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_841165,1768,SKIP_NS,OK_841165,OK_841165,SKIP_NS,FAIL_404,FAIL_404
3,13,"https://iiif.io/api/cookbook/recipe/0117-add-image-thumbnail/manifest.json","Playbill Cover with Manifest Thumbnail",1,4520,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_3020697,4520,SKIP_NS,OK_3020697,OK_3020697,SKIP_NS,FAIL_404,FAIL_404
3,14,"https://iiif.io/api/cookbook/recipe/0202-start-canvas/manifest.json","Multiple Related Images (Book, etc.)",5,3204,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_853193,3204,SKIP_NS,OK_853193,OK_853193,SKIP_NS,FAIL_404,FAIL_404
3,15,"https://iiif.io/api/cookbook/recipe/0154-geo-extension/manifest.json","Bronzo Laocoonte e i suoi figli",1,2315,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_735394,2315,SKIP_NS,OK_735394,OK_735394,SKIP_NS,FAIL_404,FAIL_404
3,16,"https://iiif.io/api/cookbook/recipe/0240-navPlace-on-canvases/manifest.json","Laocöon, geolocated sculpture and painting.",2,2315,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_735394,2315,SKIP_NS,OK_735394,OK_735394,SKIP_NS,FAIL_404,FAIL_404
3,17,"https://iiif.io/api/cookbook/recipe/0234-provider/manifest.json","Playbill Cover",1,4520,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_3020697,4520,SKIP_NS,OK_3020697,OK_3020697,SKIP_NS,FAIL_404,FAIL_404
3,18,"https://polona.pl/api/search-index/search/iiif/a399f131-4051-4562-8d46-c0004717c879/manifest.json","[Liber introductorius] : [de signis et imaginibus caeli]",59,0,NA,SKIP_NS,FAIL,FAIL,OK_1866053,2490,SKIP_NS,OK_1866053,OK_1866053,SKIP_NS,FAIL_404,FAIL_404
3,19,"https://api.chgov.bar.admin.ch/manifests/32328752/32328752.json","E1004.1#1000/9#14057*",43,1422,SKIP_NS,SKIP_NS,SKIP_NS,SKIP_NS,OK_527765,1422,SKIP_NS,OK_527765,OK_527765,SKIP_NS,FAIL_404,FAIL_404
